127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001137
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000408
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000397
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.000363
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.000390
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.000345
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.000379
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.000358
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.000419
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 304, 0.000387
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/images/stripes.png, HTTP/1.1, 304, 0.000435
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/images/questions.png, HTTP/1.1, 304, 0.000966
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/images/twitter.png, HTTP/1.1, 304, 0.000595
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 304, 0.000324
127.0.0.1, 2013-05-20 15:58:33, GET, /examples/static/images/facebook.png, HTTP/1.1, 304, 0.000355
127.0.0.1, 2013-05-20 15:58:39, GET, /examples/default/index, HTTP/1.1, 200, 0.008433
127.0.0.1, 2013-05-20 15:58:39, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000404
127.0.0.1, 2013-05-20 15:58:39, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.000384
127.0.0.1, 2013-05-20 15:58:39, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.000558
127.0.0.1, 2013-05-20 15:58:39, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.000336
127.0.0.1, 2013-05-20 15:58:39, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.000337
127.0.0.1, 2013-05-20 15:58:39, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000470
127.0.0.1, 2013-05-20 15:58:39, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000483
